Data S1. List of Border Protected Areas,,
WDPAID,NAME,ISO3
28175,Mount Elgon,UGA
28385,Gangotri,IND
28416,Parc Naturel de la Haute-Sûre / Naturpark Öewersauer,LUX
28547,Koulbi,BFA
29066,Massif du Ziama,GIN
29067,Monts Nimba,GIN
29069,Badiar,GIN
29380,Banie,GIN
29499,Diambarakrou,CIV
29525,Yalo,CIV
29572,Tiapleu,CIV
29586,Leraba,CIV
29618,Mt. Manda,CIV
30026,Paríma - Tapirapeco,VEN
30029,Alto Orinoco - Casiquiare,VEN
30045,Moises Bertoni,PRY
30051,Mudumu,NAM
30052,Nkasa Rupara,NAM
30602,Xunantunich,BLZ
30604,Mirador - Río Azul,GTM
30605,Sierra del Lacandón,GTM
30614,Montañas Mayas Chiquibul,GTM
30618,San Román,GTM
30630,Los Guatuzos,NIC
30632,Fortaleza La Inmaculada Concepción de María,NIC
30674,Nki,CMR
30694,Fifa Nature Reserve,JOR
30720,Hyangnobong  - Mount Geonbongsan,KOR
30723,Latorica,SVK
30747,Gampriner Seelein,LIE
30750,Äulehäg,LIE
30752,Triesner Heilos,LIE
30753,Wisanels,LIE
30754,Birka,LIE
30755,Schneckenäule,LIE
30756,Au,LIE
30757,Pflanzenschutzgebiet (Gebirgsflora),LIE
30783,2002478 Skarsåsfjällen,SWE
30785,2001202 Skäckerfjällen,SWE
30790,2001200 Svenskådalen,SWE
30836,Teyú Cuare,ARG
30851,Richtersveld National Park,ZAF
30853,Karancs–Medves Tájvédelmi Körzet,HUN
31045,Bernina-Albris,CHE
31058,Le Noirmont,CHE
31238,Grøvelsjøen,NOR
31250,Rangeldalen,NOR
31255,Saltfjellet,NOR
31256,Ráisduottarháldi,NOR
31258,Sadeth Naikrom  - Krom Luang Chumporn (North),THA
31259,Um Phang,THA
31275,Otze Forest,UGA
31400,Naturschutzgebiete (NSG) - NSG Wolayersee und Umgebung,AUT
31402,Kalkhochalpen,AUT
31407,Südburgenländisches Hügel- und Terrassenland,AUT
31408,Untere Marchauen,AUT
31412,Donau-March-Thaya-Auen,AUT
31458,Dzanga-Ndoki,CAF
31459,Dzanga-Sangha,CAF
31521,Paphos,CYP
31551,Dzūkijos nacionalinis parkas,LTU
31563,Paganamaa maastikukaitseala,EST
31597,Dolina Bugu,POL
31598,Dolina Narwi,POL
31601,Wzgórza Sokólskie,POL
31605,Chełmski Obszar Chronionego Krajobrazu,POL
31608,Poleski Obszar Chronionego Krajobrazu,POL
31615,Rzeki Banówki,POL
31620,Wzniesień Górowskich,POL
31656,Przemysko-Dynowski Obszar Chronionego Krajobrazu,POL
31657,Roztoczański Obszar Chronionego Krajobrazu (woj. podkarpackie),POL
31687,Góry Bystrzyckie i Orlickie,POL
31697,Bory Dolnośląskie,POL
31701,Ulu Temburong,BRN
31720,Kongura,BGR
31759,Floresta Nacional Do Amazonas,BRA
31774,Reserva Extrativista Alto Juruá,BRA
31775,Reserva Extrativista Chico Mendes,BRA
31921,Bodenseeufer,DEU
32530,Naturschutzgebiet Karwendel,AUT
32535,Ruhegebiet Ötztaler Alpen,AUT
32537,Ruhegebiet Stubaier Alpen,AUT
32538,Ruhegebiet Eppzirl,AUT
32541,Landschaftsschutzgebiet Hefferthorn-Fellhorn-Sonnenberg,AUT
32544,Landschaftsschutzgebiet Nösslachjoch-Obernberger See-Tribulaune,AUT
32547,Landschaftsschutzgebiet Serles-Habicht-Zuckerhütl,AUT
32666,Sächsische Schweiz,DEU
32705,Parco naturale Vedrette di Ries - Aurina,ITA
32834,Molopo Provincial Nature Reserve,ZAF
32948,Labi Hills (Sungai Ingei Conservation),BRN
32950,Ulu Mendaram (Conservation),BRN
33020,Toui-Kilibo,BEN
33161,Thambani,MWI
33179,Litchenya,MWI
33181,Matandwe,MWI
33182,Chimaliro,MWI
33184,Dzalanyama,MWI
33200,Mvai,MWI
33209,Mafinga Hills#,MWI
33521,Parque Estadual Serra Do Aracá,BRA
33613,Parque Estadual De Corumbiara,BRA
33729,Kampa do Rio Amonea,BRA
33730,Kaxinawá Ashaninka do Rio Breu,BRA
33731,Kaxinawá do Rio Jordão,BRA
33732,Alto Tarauacá,BRA
33733,Kampa e Isolados do Rio Envira,BRA
33745,Mamoadate,BRA
33746,Cabeceira do Rio Acre,BRA
33809,Galibi,BRA
33810,Jumina,BRA
33909,Évare I,BRA
33911,Tikuna de Santo Antonio,BRA
33918,Tukuna Umariaçu,BRA
33920,Vale do Javari,BRA
34026,Reserva Extrativista Rio Cautário,BRA
34037,Pacaas Novas,BRA
34039,Rio Guaporé,BRA
34042,Sagarana,BRA
34052,Bom Jesus,BRA
34059,Jacamim,BRA
34065,Manoa/Pium,BRA
34075,Raposa Serra do Sol,BRA
34084,WaiWai,BRA
36064,Vedat de caça d'Enclar,AND
36065,Vedat de caça de Xixerella,AND
36165,Lema,NGA
36166,North Tangaza,NGA
36180,Tara,NGA
36182,Isa Zurmi,NGA
36183,Zamfara,NGA
36184,Guidan Baure,NGA
36189,Dutsin Kuba,NGA
36190,Kadobi,NGA
36191,Madatai,NGA
36250,Dan Kulili,NGA
36251,Dam Makama,NGA
36349,Dende,NGA
36800,Meko,NGA
36900,Bissaula,NGA
